tab_code,表章項目,cat01_code,データの種別,cat02_code,銘柄,area_code,地域,time_code,時間軸（月）,unit,value,annotation
10,価格,20,価格,1111,1111 ぶり,13100,特別区部,2023000101,2023年1月,円,431,
10,価格,20,価格,1111,1111 ぶり,13100,特別区部,2022001212,2022年12月,円,387,
10,価格,20,価格,1111,1111 ぶり,13100,特別区部,2022001111,2022年11月,円,373,
10,価格,20,価格,1111,1111 ぶり,13100,特別区部,2022001010,2022年10月,円,370,
10,価格,20,価格,1111,1111 ぶり,13100,特別区部,2022000909,2022年9月,円,364,
10,価格,20,価格,1111,1111 ぶり,13100,特別区部,2022000808,2022年8月,円,368,
10,価格,20,価格,1111,1111 ぶり,13100,特別区部,2022000707,2022年7月,円,377,
10,価格,20,価格,1111,1111 ぶり,13100,特別区部,2022000606,2022年6月,円,354,
10,価格,20,価格,1111,1111 ぶり,13100,特別区部,2022000505,2022年5月,円,368,
10,価格,20,価格,1111,1111 ぶり,13100,特別区部,2022000404,2022年4月,円,332,
10,価格,20,価格,1111,1111 ぶり,13100,特別区部,2022000303,2022年3月,円,355,
10,価格,20,価格,1111,1111 ぶり,13100,特別区部,2022000202,2022年2月,円,356,
10,価格,20,価格,1111,1111 ぶり,13100,特別区部,2022000101,2022年1月,円,358,
10,価格,20,価格,1111,1111 ぶり,13100,特別区部,2021001212,2021年12月,円,346,
10,価格,20,価格,1111,1111 ぶり,13100,特別区部,2021001111,2021年11月,円,320,
10,価格,20,価格,1111,1111 ぶり,13100,特別区部,2021001010,2021年10月,円,323,
10,価格,20,価格,1111,1111 ぶり,13100,特別区部,2021000909,2021年9月,円,302,
10,価格,20,価格,1111,1111 ぶり,13100,特別区部,2021000808,2021年8月,円,302,
10,価格,20,価格,1111,1111 ぶり,13100,特別区部,2021000707,2021年7月,円,289,
10,価格,20,価格,1111,1111 ぶり,13100,特別区部,2021000606,2021年6月,円,279,
10,価格,20,価格,1111,1111 ぶり,13100,特別区部,2021000505,2021年5月,円,268,
10,価格,20,価格,1111,1111 ぶり,13100,特別区部,2021000404,2021年4月,円,259,
10,価格,20,価格,1111,1111 ぶり,13100,特別区部,2021000303,2021年3月,円,264,
10,価格,20,価格,1111,1111 ぶり,13100,特別区部,2021000202,2021年2月,円,260,
10,価格,20,価格,1111,1111 ぶり,13100,特別区部,2021000101,2021年1月,円,257,
10,価格,20,価格,1111,1111 ぶり,13100,特別区部,2020001212,2020年12月,円,266,
10,価格,20,価格,1111,1111 ぶり,13100,特別区部,2020001111,2020年11月,円,262,
10,価格,20,価格,1111,1111 ぶり,13100,特別区部,2020001010,2020年10月,円,274,
10,価格,20,価格,1111,1111 ぶり,13100,特別区部,2020000909,2020年9月,円,280,
10,価格,20,価格,1111,1111 ぶり,13100,特別区部,2020000808,2020年8月,円,284,
10,価格,20,価格,1111,1111 ぶり,13100,特別区部,2020000707,2020年7月,円,271,
10,価格,20,価格,1111,1111 ぶり,13100,特別区部,2020000606,2020年6月,円,271,
10,価格,20,価格,1111,1111 ぶり,13100,特別区部,2020000505,2020年5月,円,280,
10,価格,20,価格,1111,1111 ぶり,13100,特別区部,2020000404,2020年4月,円,277,
10,価格,20,価格,1111,1111 ぶり,13100,特別区部,2020000303,2020年3月,円,280,
10,価格,20,価格,1111,1111 ぶり,13100,特別区部,2020000202,2020年2月,円,290,
10,価格,20,価格,1111,1111 ぶり,13100,特別区部,2020000101,2020年1月,円,294,
10,価格,20,価格,1111,1111 ぶり,13100,特別区部,2019001212,2019年12月,円,291,
10,価格,20,価格,1111,1111 ぶり,13100,特別区部,2019001111,2019年11月,円,295,
10,価格,20,価格,1111,1111 ぶり,13100,特別区部,2019001010,2019年10月,円,290,
10,価格,20,価格,1111,1111 ぶり,13100,特別区部,2019000909,2019年9月,円,289,
10,価格,20,価格,1111,1111 ぶり,13100,特別区部,2019000808,2019年8月,円,306,
